year_month,total_tweets,date,twitter_data,office_type
2015-04,1942,2015-04-01,all,senate
2015-05,1803,2015-05-01,all,senate
2015-06,2153,2015-06-01,all,senate
2015-07,2488,2015-07-01,all,senate
2015-08,1558,2015-08-01,all,senate
2015-09,2114,2015-09-01,all,senate
2015-10,2719,2015-10-01,all,senate
2015-11,2391,2015-11-01,all,senate
2015-12,2478,2015-12-01,all,senate
2016-01,2501,2016-01-01,all,senate
2016-02,2898,2016-02-01,all,senate
2016-03,3415,2016-03-01,all,senate
2016-04,3251,2016-04-01,all,senate
2016-05,3213,2016-05-01,all,senate
2016-06,3706,2016-06-01,all,senate
2016-07,3474,2016-07-01,all,senate
2016-08,2950,2016-08-01,all,senate
2016-09,3453,2016-09-01,all,senate
2016-10,3170,2016-10-01,all,senate
2016-11,2824,2016-11-01,all,senate
2016-12,2433,2016-12-01,all,senate
2017-01,4186,2017-01-01,all,senate
2017-02,3713,2017-02-01,all,senate
2017-03,4659,2017-03-01,all,senate
2017-04,3747,2017-04-01,all,senate
2017-05,4443,2017-05-01,all,senate
2017-06,4738,2017-06-01,all,senate
2017-07,4675,2017-07-01,all,senate
2017-08,3755,2017-08-01,all,senate
2017-09,5240,2017-09-01,all,senate
2017-10,4703,2017-10-01,all,senate
2017-11,4444,2017-11-01,all,senate
2017-12,4121,2017-12-01,all,senate
2018-01,5190,2018-01-01,all,senate
2018-02,4556,2018-02-01,all,senate
2018-03,6270,2018-03-01,all,senate
2018-04,5805,2018-04-01,all,senate
2018-05,6332,2018-05-01,all,senate
2018-06,6953,2018-06-01,all,senate
2018-07,6534,2018-07-01,all,senate
2018-08,7169,2018-08-01,all,senate
2018-09,7353,2018-09-01,all,senate
2018-10,12304,2018-10-01,all,senate
2018-11,6181,2018-11-01,all,senate
2014-12,751,2014-12-01,all,senate
2015-01,1345,2015-01-01,all,senate
2015-02,1347,2015-02-01,all,senate
2015-03,1726,2015-03-01,all,senate
2015-04,1489,2015-04-01,all,senate
2015-05,1526,2015-05-01,all,senate
2015-06,1782,2015-06-01,all,senate
2015-07,1870,2015-07-01,all,senate
2015-08,1306,2015-08-01,all,senate
2015-09,1786,2015-09-01,all,senate
2015-10,1882,2015-10-01,all,senate
2015-11,2228,2015-11-01,all,senate
2015-12,1693,2015-12-01,all,senate
2016-01,1733,2016-01-01,all,senate
2016-02,2410,2016-02-01,all,senate
2016-03,2551,2016-03-01,all,senate
2016-04,2366,2016-04-01,all,senate
2016-05,2562,2016-05-01,all,senate
2016-06,2821,2016-06-01,all,senate
2016-07,2605,2016-07-01,all,senate
2016-08,2421,2016-08-01,all,senate
2016-09,2669,2016-09-01,all,senate
2016-10,2378,2016-10-01,all,senate
2016-11,1984,2016-11-01,all,senate
2016-12,2068,2016-12-01,all,senate
2017-01,2849,2017-01-01,all,senate
2017-02,2272,2017-02-01,all,senate
2017-03,3254,2017-03-01,all,senate
2017-04,3020,2017-04-01,all,senate
2017-05,3552,2017-05-01,all,senate
2017-06,3676,2017-06-01,all,senate
